"ID","Section","image1","label1","node1","node2","image2","label2","sub_reported","edge","true_structure","Condition","Structure","rt","correct"
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,9,"CFD-BF-050-003-N_circ.png","TDH","FALSE","0-8",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-AM-229-224-N_circ.png","MBF",2,7,"CFD-LM-207-004-N_circ.png","WSG","FALSE","1-6",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-AM-229-224-N_circ.png","MBF",2,8,"CFD-BM-045-004-N_circ.png","RMJ","FALSE","1-7",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-AM-229-224-N_circ.png","MBF",2,9,"CFD-BF-050-003-N_circ.png","TDH","FALSE","1-8",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-LF-236-221-N_circ.png","KJT",3,7,"CFD-LM-207-004-N_circ.png","WSG","FALSE","2-6",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-LF-236-221-N_circ.png","KJT",3,8,"CFD-BM-045-004-N_circ.png","RMJ","FALSE","2-7",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-LF-236-221-N_circ.png","KJT",3,9,"CFD-BF-050-003-N_circ.png","TDH","FALSE","2-8",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-WM-015-002-N_circ.png","DBG",4,8,"CFD-BM-045-004-N_circ.png","RMJ","FALSE","3-7",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-WM-015-002-N_circ.png","DBG",4,9,"CFD-BF-050-003-N_circ.png","TDH","FALSE","3-8",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-AF-201-060-N_circ.png","LCF",5,7,"CFD-LM-207-004-N_circ.png","WSG","FALSE","4-6",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-AF-201-060-N_circ.png","LCF",5,8,"CFD-BM-045-004-N_circ.png","RMJ","FALSE","4-7",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-AF-201-060-N_circ.png","LCF",5,9,"CFD-BF-050-003-N_circ.png","TDH","FALSE","4-8",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-BM-027-001-N_circ.png","EKF",6,7,"CFD-LM-207-004-N_circ.png","WSG","FALSE","5-6",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-BM-027-001-N_circ.png","EKF",6,8,"CFD-BM-045-004-N_circ.png","RMJ","FALSE","5-7",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-BM-027-001-N_circ.png","EKF",6,9,"CFD-BF-050-003-N_circ.png","TDH","FALSE","5-8",FALSE,"social","natural",115.175,TRUE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,4,"CFD-BM-045-004-N_circ.png","NWB","TRUE","0-3",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-AF-201-060-N_circ.png","JGC",2,7,"CFD-AM-201-076-N_circ.png","TDH","TRUE","1-6",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-LM-243-075-N_circ.png","RMJ",3,4,"CFD-BM-045-004-N_circ.png","NWB","TRUE","2-3",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-BM-045-004-N_circ.png","NWB",4,5,"CFD-BF-050-003-N_circ.png","MLH","TRUE","3-4",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-BM-045-004-N_circ.png","NWB",4,6,"CFD-WF-005-010-N_circ.png","HGP","TRUE","3-5",FALSE,"social","unnatural",198.837,FALSE
"1","1","CFD-BF-050-003-N_circ.png","MLH",5,6,"CFD-WF-005-010-N_circ.png","HGP","TRUE","4-5",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-WF-005-010-N_circ.png","HGP",6,9,"CFD-BM-036-003-N_circ.png","DKP","TRUE","5-8",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-AM-201-076-N_circ.png","TDH",7,8,"CFD-WM-003-002-N_circ.png","ACW","TRUE","6-7",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-WM-003-002-N_circ.png","ACW",8,9,"CFD-BM-036-003-N_circ.png","DKP","TRUE","7-8",TRUE,"social","unnatural",198.837,TRUE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,2,"CFD-AF-201-060-N_circ.png","JGC","FALSE","0-1",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,3,"CFD-LM-243-075-N_circ.png","RMJ","FALSE","0-2",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,5,"CFD-BF-050-003-N_circ.png","MLH","FALSE","0-4",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,6,"CFD-WF-005-010-N_circ.png","HGP","FALSE","0-5",TRUE,"social","unnatural",198.837,FALSE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,7,"CFD-AM-201-076-N_circ.png","TDH","FALSE","0-6",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,8,"CFD-WM-003-002-N_circ.png","ACW","FALSE","0-7",TRUE,"social","unnatural",198.837,FALSE
"1","1","CFD-LF-216-121-N_circ.png","NKS",1,9,"CFD-BM-036-003-N_circ.png","DKP","FALSE","0-8",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-AF-201-060-N_circ.png","JGC",2,3,"CFD-LM-243-075-N_circ.png","RMJ","FALSE","1-2",TRUE,"social","unnatural",198.837,FALSE
"1","1","CFD-AF-201-060-N_circ.png","JGC",2,4,"CFD-BM-045-004-N_circ.png","NWB","FALSE","1-3",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-AF-201-060-N_circ.png","JGC",2,5,"CFD-BF-050-003-N_circ.png","MLH","FALSE","1-4",TRUE,"social","unnatural",198.837,FALSE
"1","1","CFD-AF-201-060-N_circ.png","JGC",2,6,"CFD-WF-005-010-N_circ.png","HGP","FALSE","1-5",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-AF-201-060-N_circ.png","JGC",2,8,"CFD-WM-003-002-N_circ.png","ACW","FALSE","1-7",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-AF-201-060-N_circ.png","JGC",2,9,"CFD-BM-036-003-N_circ.png","DKP","FALSE","1-8",TRUE,"social","unnatural",198.837,FALSE
"1","1","CFD-LM-243-075-N_circ.png","RMJ",3,5,"CFD-BF-050-003-N_circ.png","MLH","FALSE","2-4",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-LM-243-075-N_circ.png","RMJ",3,6,"CFD-WF-005-010-N_circ.png","HGP","FALSE","2-5",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-LM-243-075-N_circ.png","RMJ",3,7,"CFD-AM-201-076-N_circ.png","TDH","FALSE","2-6",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-LM-243-075-N_circ.png","RMJ",3,8,"CFD-WM-003-002-N_circ.png","ACW","FALSE","2-7",TRUE,"social","unnatural",198.837,FALSE
"1","1","CFD-LM-243-075-N_circ.png","RMJ",3,9,"CFD-BM-036-003-N_circ.png","DKP","FALSE","2-8",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-BM-045-004-N_circ.png","NWB",4,7,"CFD-AM-201-076-N_circ.png","TDH","FALSE","3-6",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-BM-045-004-N_circ.png","NWB",4,8,"CFD-WM-003-002-N_circ.png","ACW","FALSE","3-7",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-BM-045-004-N_circ.png","NWB",4,9,"CFD-BM-036-003-N_circ.png","DKP","FALSE","3-8",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-BF-050-003-N_circ.png","MLH",5,7,"CFD-AM-201-076-N_circ.png","TDH","FALSE","4-6",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-BF-050-003-N_circ.png","MLH",5,8,"CFD-WM-003-002-N_circ.png","ACW","FALSE","4-7",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-BF-050-003-N_circ.png","MLH",5,9,"CFD-BM-036-003-N_circ.png","DKP","FALSE","4-8",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-WF-005-010-N_circ.png","HGP",6,7,"CFD-AM-201-076-N_circ.png","TDH","FALSE","5-6",TRUE,"social","unnatural",198.837,FALSE
"1","1","CFD-WF-005-010-N_circ.png","HGP",6,8,"CFD-WM-003-002-N_circ.png","ACW","FALSE","5-7",FALSE,"social","unnatural",198.837,TRUE
"1","1","CFD-AM-201-076-N_circ.png","TDH",7,9,"CFD-BM-036-003-N_circ.png","DKP","FALSE","6-8",FALSE,"social","unnatural",198.837,TRUE
"1","2","CFD-LM-207-004-N_circ.png","DKP",1,2,"CFD-AM-229-224-N_circ.png","EBH","TRUE","0-1",TRUE,"social","natural",136.967,TRUE
"1","2","CFD-LM-207-004-N_circ.png","DKP",1,5,"CFD-WM-015-002-N_circ.png","ACW","TRUE","0-4",FALSE,"social","natural",136.967,FALSE
"1","2","CFD-AM-229-224-N_circ.png","EBH",2,6,"CFD-AF-225-141-N_circ.png","RLA","TRUE","1-5",TRUE,"social","natural",136.967,TRUE
"1","2","CFD-AM-229-224-N_circ.png","EBH",2,3,"CFD-LF-236-221-N_circ.png","LWP","TRUE","1-2",TRUE,"social","natural",136.967,TRUE
"1","2","CFD-AM-229-224-N_circ.png","EBH",2,4,"CFD-BM-036-003-N_circ.png","RMJ","TRUE","1-3",TRUE,"social","natural",136.967,TRUE
"1","2","CFD-LF-236-221-N_circ.png","LWP",3,6,"CFD-AF-225-141-N_circ.png","RLA","TRUE","2-5",TRUE,"social","natural",136.967,TRUE
"1","2","CFD-BM-036-003-N_circ.png","RMJ",4,7,"CFD-BM-027-001-N_circ.png","ENM","TRUE","3-6",TRUE,"social","natural",136.967,TRUE
"1","2","CFD-BM-036-003-N_circ.png","RMJ",4,5,"CFD-WM-015-002-N_circ.png","ACW","TRUE","3-4",TRUE,"social","natural",136.967,TRUE
